CHROM	START	STOP	PEAK
Cp4.1LG05	741572	742080	3.18617
Cp4.1LG05	746020	746349	7.28298
Cp4.1LG05	746513	750447	5.40363
Cp4.1LG05	754707	755008	5.67840
Cp4.1LG05	768328	768710	4.38880
Cp4.1LG05	768838	769110	3.23260
Cp4.1LG05	780325	780928	12.01811
Cp4.1LG05	816770	817006	5.14143
Cp4.1LG05	855403	856090	5.35586
Cp4.1LG05	899770	900167	3.93062
Cp4.1LG05	1031559	1031786	4.29061
Cp4.1LG05	1037330	1037721	3.78960
Cp4.1LG05	1037811	1038473	4.48119
Cp4.1LG05	1038775	1039266	5.59687
Cp4.1LG05	1039457	1039876	3.32420
Cp4.1LG05	1345967	1346662	3.01036
Cp4.1LG05	1372120	1372606	3.96240
Cp4.1LG05	1416153	1416654	3.86000
Cp4.1LG05	1513871	1514389	4.90701
Cp4.1LG05	1612418	1612733	3.16686
Cp4.1LG05	1751880	1752444	3.17687
Cp4.1LG05	1948397	1949686	3.65928
Cp4.1LG05	1972264	1972424	3.17296
Cp4.1LG05	1979776	1980022	3.30281
Cp4.1LG05	1998422	1998573	3.36130
Cp4.1LG05	2019079	2021200	6.26485
Cp4.1LG05	2055755	2056305	4.23413
Cp4.1LG05	2055755	2056305	3.32324
Cp4.1LG05	2153157	2153473	3.51800
Cp4.1LG05	2212766	2213000	3.06287
Cp4.1LG05	2309794	2309934	3.19396
Cp4.1LG05	2347387	2347635	3.08482
Cp4.1LG05	2354350	2355881	3.31677
Cp4.1LG05	2532987	2541092	5.04197
Cp4.1LG05	2585720	2586241	11.46513
Cp4.1LG05	2592081	2592620	4.18303
Cp4.1LG05	2717182	2718067	3.41464
Cp4.1LG05	3038505	3038752	3.55855
Cp4.1LG05	3079808	3080150	4.38953
Cp4.1LG05	3083127	3083555	3.42131
Cp4.1LG05	3102009	3102160	3.44789
Cp4.1LG05	3127146	3127435	4.87263
Cp4.1LG05	3238255	3238477	3.74139
Cp4.1LG05	3436497	3436708	3.00636
Cp4.1LG05	3459886	3466242	5.92168
Cp4.1LG05	3785643	3790319	5.17540
Cp4.1LG05	3791209	3791666	3.93366
Cp4.1LG05	3791209	3791666	4.93049
Cp4.1LG05	3824151	3824611	4.64435
Cp4.1LG05	3835303	3837493	3.61771
Cp4.1LG05	3835303	3837493	4.80233
Cp4.1LG05	3915383	3915700	9.08217
Cp4.1LG05	3916285	3916700	3.77853
Cp4.1LG05	3958661	3958977	7.01693
Cp4.1LG05	3969548	3970783	4.75088
Cp4.1LG05	4070973	4071514	3.51836
Cp4.1LG05	4107048	4107290	4.14237
Cp4.1LG05	4132334	4132531	3.23808
Cp4.1LG05	4132592	4132841	6.20775
Cp4.1LG05	4138669	4139180	4.53973
Cp4.1LG05	4139577	4139883	5.06125
Cp4.1LG05	4262722	4266818	3.47526
Cp4.1LG05	4289928	4307596	5.28096
Cp4.1LG05	4307596	4308940	3.49868
Cp4.1LG05	4368549	4368985	3.10489
Cp4.1LG05	4369786	4369918	3.57000
Cp4.1LG05	4370159	4372297	3.11804
Cp4.1LG05	4372595	4372856	4.63561
Cp4.1LG05	4375551	4376079	4.12169
Cp4.1LG05	4401034	4401644	3.11880
Cp4.1LG05	4402028	4402351	4.06605
Cp4.1LG05	4404905	4405546	3.37350
Cp4.1LG05	4438862	4439692	5.17596
Cp4.1LG05	4604921	4624327	4.96470
Cp4.1LG05	4741826	4742311	3.81603
Cp4.1LG05	4743759	4743960	4.29103
Cp4.1LG05	4743759	4743960	4.15584
Cp4.1LG05	4760905	4761529	27.73826
Cp4.1LG05	4763558	4764319	4.10209
Cp4.1LG05	4807665	4810091	10.56634
Cp4.1LG05	4807665	4810091	10.29703
Cp4.1LG05	4952980	4953170	3.63285
Cp4.1LG05	4965537	4965848	3.36764
Cp4.1LG05	4965537	4965848	3.32381
Cp4.1LG05	4965537	4965848	4.57917
Cp4.1LG05	4980181	4980556	4.53223
Cp4.1LG05	4980181	4980556	4.26512
Cp4.1LG05	4980556	4980963	6.38634
Cp4.1LG05	5015726	5016761	3.48406
Cp4.1LG05	5056753	5057369	3.07402
Cp4.1LG05	5082269	5083023	6.01794
Cp4.1LG05	5097675	5098101	4.02672
Cp4.1LG05	5111378	5111761	6.36754
Cp4.1LG05	5123023	5123119	3.24811
Cp4.1LG05	5123126	5123229	3.50330
Cp4.1LG05	5162496	5162623	3.20100
Cp4.1LG05	5165181	5165853	3.09765
Cp4.1LG05	5168694	5168755	3.34415
Cp4.1LG05	5172001	5172070	4.54519
Cp4.1LG05	5186177	5186936	3.91598
Cp4.1LG05	5191954	5192478	3.44342
Cp4.1LG05	5191954	5192478	3.38053
Cp4.1LG05	5191954	5192478	3.23718
Cp4.1LG05	5209403	5209766	3.47344
Cp4.1LG05	5235510	5235963	37.31216
Cp4.1LG05	5237993	5239636	7.75507
Cp4.1LG05	5237993	5239636	12.97167
Cp4.1LG05	5237993	5239636	8.44905
Cp4.1LG05	5264797	5264848	3.15038
Cp4.1LG05	5277124	5277215	5.69347
Cp4.1LG05	5277124	5277215	3.07067
Cp4.1LG05	5277674	5279025	36.55205
Cp4.1LG05	5284456	5284569	3.03315
Cp4.1LG05	5287112	5287314	6.61548
Cp4.1LG05	5301418	5302153	3.54243
Cp4.1LG05	5315522	5318176	3.09092
Cp4.1LG05	5340589	5340736	3.71555
Cp4.1LG05	5340589	5340736	3.86591
Cp4.1LG05	5343224	5343431	5.74030
Cp4.1LG05	5343450	5343768	4.51537
Cp4.1LG05	5368868	5369804	4.34172
Cp4.1LG05	5379730	5380213	4.76974
Cp4.1LG05	5381424	5381756	3.98229
Cp4.1LG05	5385378	5387600	3.92951
Cp4.1LG05	5387603	5388697	9.36263
Cp4.1LG05	5388697	5389023	4.15412
Cp4.1LG05	5388697	5389023	4.22444
Cp4.1LG05	5388697	5389023	4.18441
Cp4.1LG05	5390141	5390609	4.59206
Cp4.1LG05	5390141	5390609	3.24089
Cp4.1LG05	5393015	5393279	7.35251
Cp4.1LG05	5395524	5396084	4.17045
Cp4.1LG05	5395524	5396084	3.93510
Cp4.1LG05	5406782	5414952	3.75902
Cp4.1LG05	5416288	5416560	25.02037
Cp4.1LG05	5416288	5416560	9.54178
Cp4.1LG05	5419457	5419515	3.42455
Cp4.1LG05	5479053	5479409	4.70151
Cp4.1LG05	5479053	5479409	6.24423
Cp4.1LG05	5479053	5479409	4.62079
Cp4.1LG05	5479053	5479409	5.47089
Cp4.1LG05	5479053	5479409	4.81100
Cp4.1LG05	5481853	5482953	4.08739
Cp4.1LG05	5528731	5530378	4.26419
Cp4.1LG05	5538162	5538316	3.38053
Cp4.1LG05	5541371	5542862	7.03992
Cp4.1LG05	5616295	5616516	3.20241
Cp4.1LG05	5629083	5630687	6.90499
Cp4.1LG05	5634537	5634757	22.96571
Cp4.1LG05	5634890	5635138	13.93355
Cp4.1LG05	5634890	5635138	8.88406
Cp4.1LG05	5635724	5636070	5.62968
Cp4.1LG05	5635724	5636070	3.85770
Cp4.1LG05	5635724	5636070	4.54297
Cp4.1LG05	5636591	5636962	5.71133
Cp4.1LG05	5637083	5637389	31.06602
Cp4.1LG05	5639674	5639835	6.24009
Cp4.1LG05	5639674	5639835	11.04542
Cp4.1LG05	5649920	5651265	4.86832
Cp4.1LG05	5871419	5871721	3.40451
Cp4.1LG05	5923105	5925610	3.26630
Cp4.1LG05	5962428	5963920	3.91547
Cp4.1LG05	5976272	5976388	3.73051
Cp4.1LG05	6004218	6004701	3.32666
Cp4.1LG05	6033425	6033756	3.19127
Cp4.1LG05	6062467	6062864	5.80661
Cp4.1LG05	6084822	6090559	4.84423
Cp4.1LG05	6138478	6138530	3.65112
Cp4.1LG05	6149896	6150734	6.02427
Cp4.1LG05	6186135	6187566	3.01546
Cp4.1LG05	6226554	6231801	3.93404
Cp4.1LG05	6249669	6249896	3.43012
Cp4.1LG05	6316372	6316772	6.79854
Cp4.1LG05	6328718	6329126	4.82998
Cp4.1LG05	6328718	6329126	3.93967
Cp4.1LG05	6350901	6351282	3.83474
Cp4.1LG05	6365899	6366663	3.53391
Cp4.1LG05	6388172	6390537	3.49447
Cp4.1LG05	6455189	6456634	4.75623
Cp4.1LG05	6456700	6457831	6.01246
Cp4.1LG05	6462700	6471698	5.06291
Cp4.1LG05	6476145	6476410	3.18860
Cp4.1LG05	6476413	6477259	5.35919
Cp4.1LG05	6477260	6477578	3.39841
Cp4.1LG05	6483250	6485384	11.52197
Cp4.1LG05	6485402	6485759	7.73070
Cp4.1LG05	6493898	6494019	3.26671
Cp4.1LG05	6495594	6495877	3.43994
Cp4.1LG05	6496377	6511975	4.30360
Cp4.1LG05	6511975	6512058	5.65578
Cp4.1LG05	6512092	6520699	3.39012
Cp4.1LG05	6659824	6660165	8.01683
Cp4.1LG05	6663102	6663521	3.12839
Cp4.1LG05	6663102	6663521	3.46899
Cp4.1LG05	6663102	6663521	3.93752
Cp4.1LG05	6663537	6666881	3.30355
Cp4.1LG05	6821044	6821980	6.44678
Cp4.1LG05	6821044	6821980	24.09740
Cp4.1LG05	6822829	6823194	3.13963
Cp4.1LG05	6825750	6826731	5.31407
Cp4.1LG05	6875445	6875654	4.79448
Cp4.1LG05	6911272	6911627	5.03012
Cp4.1LG05	6911272	6911627	7.67353
Cp4.1LG05	6912603	6912850	6.48579
Cp4.1LG05	6946085	6946356	3.60684
Cp4.1LG05	6950063	6950377	3.70870
Cp4.1LG05	6950063	6950377	3.43373
Cp4.1LG05	6962361	6965697	4.65725
Cp4.1LG05	6987082	6988947	6.81922
Cp4.1LG05	7050101	7051380	3.69860
Cp4.1LG05	7050101	7051380	4.25100
Cp4.1LG05	7050101	7051380	3.89625
Cp4.1LG05	7053506	7054305	4.41110
Cp4.1LG05	7055047	7055447	4.02772
Cp4.1LG05	7055047	7055447	3.22661
Cp4.1LG05	7055047	7055447	3.91831
Cp4.1LG05	7055047	7055447	4.09620
Cp4.1LG05	7055047	7055447	3.94910
Cp4.1LG05	7055561	7055825	3.99850
Cp4.1LG05	7062280	7062392	3.14314
Cp4.1LG05	7063560	7064291	6.40593
Cp4.1LG05	7064381	7064758	3.17705
Cp4.1LG05	7064381	7064758	4.56817
Cp4.1LG05	7074015	7074350	5.47022
Cp4.1LG05	7074015	7074350	6.46678
Cp4.1LG05	7078356	7078671	4.85217
Cp4.1LG05	7079898	7081003	6.08302
Cp4.1LG05	7079898	7081003	4.29954
Cp4.1LG05	7082228	7082667	3.47874
Cp4.1LG05	7082228	7082667	3.85228
Cp4.1LG05	7082228	7082667	3.95187
Cp4.1LG05	7084010	7084264	3.49299
Cp4.1LG05	7084010	7084264	3.96151
Cp4.1LG05	7084453	7084781	4.19749
Cp4.1LG05	7086058	7086281	5.11138
Cp4.1LG05	7087176	7088837	4.42494
Cp4.1LG05	7090971	7091569	4.29224
Cp4.1LG05	7091569	7091932	7.13696
Cp4.1LG05	7092104	7092421	3.07128
Cp4.1LG05	7094889	7095399	3.79570
Cp4.1LG05	7095681	7096652	4.38578
Cp4.1LG05	7118068	7118405	3.12686
Cp4.1LG05	7129883	7130688	4.16626
Cp4.1LG05	7153553	7153843	3.41791
Cp4.1LG05	7153553	7153843	3.55105
Cp4.1LG05	7161374	7161738	5.58332
Cp4.1LG05	7161374	7161738	3.46103
Cp4.1LG05	7161738	7162041	5.15236
Cp4.1LG05	7161738	7162041	4.00644
Cp4.1LG05	7168081	7168420	4.44000
Cp4.1LG05	7173550	7173947	5.54712
Cp4.1LG05	7175114	7175459	6.49275
Cp4.1LG05	7187287	7187889	4.83791
Cp4.1LG05	7201979	7202335	5.32967
Cp4.1LG05	7224361	7224454	3.07422
Cp4.1LG05	7251321	7251625	3.01012
Cp4.1LG05	7251696	7252052	4.77416
Cp4.1LG05	7257825	7259151	3.51124
Cp4.1LG05	7329898	7330110	4.61197
Cp4.1LG05	7330630	7331064	3.35521
Cp4.1LG05	7331814	7332090	3.85733
Cp4.1LG05	7341422	7341890	3.88421
Cp4.1LG05	7347136	7347342	3.73606
Cp4.1LG05	7347136	7347342	4.26664
Cp4.1LG05	7357010	7357465	8.61911
Cp4.1LG05	7360906	7361607	4.44276
Cp4.1LG05	7360906	7361607	6.18427
Cp4.1LG05	7360906	7361607	6.46308
Cp4.1LG05	7449320	7449796	3.03517
Cp4.1LG05	7449957	7450392	4.75846
Cp4.1LG05	7450392	7450797	6.54805
Cp4.1LG05	7454230	7454549	4.72529
Cp4.1LG05	7569162	7569308	3.21135
Cp4.1LG05	7576206	7576355	4.21239
Cp4.1LG05	7581351	7582685	4.11598
Cp4.1LG05	7653135	7653284	3.21950
Cp4.1LG05	7666057	7666718	4.67108
Cp4.1LG05	7666057	7666718	4.51249
Cp4.1LG05	7776287	7777149	3.48055
Cp4.1LG05	7828341	7828567	5.71792
Cp4.1LG05	7847118	7847336	3.00136
Cp4.1LG05	7847955	7848455	5.41873
Cp4.1LG05	7901481	7902498	3.40119
Cp4.1LG05	7905188	7905364	3.60575
Cp4.1LG05	7919355	7920633	7.76642
Cp4.1LG05	7925601	7925889	4.33706
Cp4.1LG05	7926369	7926882	5.44121
Cp4.1LG05	7926369	7926882	5.59813
Cp4.1LG05	7928688	7929368	3.64079
Cp4.1LG05	7935178	7935470	4.35889
Cp4.1LG05	7938241	7939293	3.20833
Cp4.1LG05	7938241	7939293	3.43676
Cp4.1LG05	7950264	7950432	3.56947
Cp4.1LG05	8080399	8080898	5.64550
Cp4.1LG05	8080399	8080898	16.11695
Cp4.1LG05	8249953	8250136	4.73645
Cp4.1LG05	8249953	8250136	4.71981
Cp4.1LG05	8261416	8261816	3.28964
Cp4.1LG05	8354523	8355460	3.37858
Cp4.1LG05	8586905	8586990	4.17406
Cp4.1LG05	8702665	8702878	3.39473
Cp4.1LG05	8817362	8817788	3.36842
Cp4.1LG05	8817362	8817788	3.45504
Cp4.1LG05	8817362	8817788	4.06417
Cp4.1LG05	8817362	8817788	3.25271
Cp4.1LG05	8981807	8994640	3.58858
Cp4.1LG05	9052526	9052832	3.81249
Cp4.1LG05	9065718	9066572	4.62015
Cp4.1LG05	9291484	9292096	3.11748
Cp4.1LG05	9326103	9326416	7.02011
Cp4.1LG05	9326878	9327123	4.32987
Cp4.1LG05	9379428	9379880	6.07427
Cp4.1LG05	9394873	9396107	3.10577
Cp4.1LG05	9407953	9408424	4.67692
Cp4.1LG05	9430075	9430264	3.34179
Cp4.1LG05	9451000	9451221	5.55304
Cp4.1LG05	9451000	9451221	5.27925
Cp4.1LG05	9453315	9453749	3.11547
Cp4.1LG05	9722406	9722892	3.42646
Cp4.1LG05	9750467	9751365	14.23577
Cp4.1LG05	9750467	9751365	7.78948
Cp4.1LG05	9803585	9804230	3.26330
Cp4.1LG05	9815834	9815952	4.27139
Cp4.1LG05	9826662	9826818	4.51256
Cp4.1LG05	9936226	9936941	3.88476
Cp4.1LG05	9936226	9936941	4.43252
Cp4.1LG05	9950837	9951531	4.08487
Cp4.1LG05	10013403	10013971	4.18740
Cp4.1LG05	10054459	10055044	4.16884
Cp4.1LG05	10302999	10303317	4.36523
Cp4.1LG05	10728293	10728701	4.04198
Cp4.1LG05	10834189	10834866	4.81923
Cp4.1LG05	10843764	10843986	3.06734
Cp4.1LG05	10850266	10856952	4.20081
Cp4.1LG11	31496	33700	3.96627
Cp4.1LG11	100835	101123	3.13274
Cp4.1LG11	113590	114124	3.02418
Cp4.1LG11	145320	146257	3.13162
Cp4.1LG11	147272	147586	3.45223
Cp4.1LG11	173937	174132	3.43578
Cp4.1LG11	186736	186957	3.72695
Cp4.1LG11	230715	231446	3.18242
Cp4.1LG11	316891	317481	3.10963
Cp4.1LG11	324773	325097	3.71278
Cp4.1LG11	332060	332403	4.75759
Cp4.1LG11	332060	332403	3.75803
Cp4.1LG11	391345	391751	3.69572
Cp4.1LG11	396093	396575	3.89850
Cp4.1LG11	397926	398557	4.76843
Cp4.1LG11	397926	398557	3.04296
Cp4.1LG11	525402	526763	3.03784
Cp4.1LG11	591158	591374	3.14338
Cp4.1LG11	639124	640543	4.67328
Cp4.1LG11	714139	714940	3.49608
Cp4.1LG11	718955	719418	3.42514
Cp4.1LG11	718955	719418	4.41127
Cp4.1LG11	780594	780836	3.85444
Cp4.1LG11	781918	782138	3.12629
Cp4.1LG11	907903	908239	5.09379
Cp4.1LG11	943325	944002	3.78319
Cp4.1LG11	944997	945185	3.21480
Cp4.1LG11	944997	945185	3.81428
Cp4.1LG11	944997	945185	3.76543
Cp4.1LG11	951646	951901	3.63645
Cp4.1LG11	968863	969887	3.97926
Cp4.1LG11	973369	973603	3.16238
Cp4.1LG11	1052422	1052622	3.20769
Cp4.1LG11	1091383	1092401	3.20996
Cp4.1LG11	1094539	1095057	3.76851
Cp4.1LG11	1096090	1096250	3.14658
Cp4.1LG11	1103195	1104187	3.98414
Cp4.1LG11	1103195	1104187	4.06534
Cp4.1LG11	1133643	1134010	3.60525
Cp4.1LG11	1135456	1135703	3.15361
Cp4.1LG11	1193352	1194192	3.18340
Cp4.1LG11	1222734	1223159	3.37408
Cp4.1LG11	1224951	1225220	4.24005
Cp4.1LG11	1224951	1225220	6.79357
Cp4.1LG11	1224951	1225220	5.18315
Cp4.1LG11	1309994	1310295	3.20521
Cp4.1LG11	1371339	1371434	3.92488
Cp4.1LG11	1437971	1438172	3.67208
Cp4.1LG11	1437971	1438172	3.70348
Cp4.1LG11	1437971	1438172	3.61663
Cp4.1LG11	1494501	1494663	9.64641
Cp4.1LG11	1494501	1494663	10.25608
Cp4.1LG11	1495412	1495886	3.30341
Cp4.1LG11	1497788	1497926	3.07278
Cp4.1LG11	1653597	1653815	3.44895
Cp4.1LG11	1655469	1655725	3.19808
Cp4.1LG11	1655469	1655725	3.29362
Cp4.1LG11	1655469	1655725	3.81715
Cp4.1LG11	1655469	1655725	4.88935
Cp4.1LG11	1655469	1655725	4.93821
Cp4.1LG11	1655469	1655725	3.43681
Cp4.1LG11	1664513	1664756	3.40459
Cp4.1LG11	1683921	1684507	3.42992
Cp4.1LG11	1687926	1688060	3.12698
Cp4.1LG11	1693415	1693583	3.84888
Cp4.1LG11	1693415	1693583	3.48392
Cp4.1LG11	1703421	1703671	3.50875
Cp4.1LG11	1703828	1704170	3.72907
Cp4.1LG11	1717374	1717430	3.20886
Cp4.1LG11	1720441	1720550	4.05273
Cp4.1LG11	1720441	1720550	3.68894
Cp4.1LG11	1739568	1739739	3.46987
Cp4.1LG11	1747430	1747669	3.16351
Cp4.1LG11	1961870	1962284	3.38847
Cp4.1LG11	1989924	1990114	3.35870
Cp4.1LG11	1990278	1991094	7.13267
Cp4.1LG11	2133988	2134124	3.19079
Cp4.1LG11	2139858	2140283	4.86066
Cp4.1LG11	2174841	2175348	4.46948
Cp4.1LG11	2176034	2176283	6.15241
Cp4.1LG11	2176034	2176283	5.06782
Cp4.1LG11	2176877	2177095	4.14341
Cp4.1LG11	2176877	2177095	6.02448
Cp4.1LG11	2280783	2281624	5.49490
Cp4.1LG11	2342911	2343418	3.90562
Cp4.1LG11	2342911	2343418	3.97767
Cp4.1LG11	2344710	2344983	4.27562
Cp4.1LG11	2344983	2345558	3.19150
Cp4.1LG11	2345720	2345954	3.42436
Cp4.1LG11	2347408	2347783	4.11854
Cp4.1LG11	2400349	2400955	3.86559
Cp4.1LG11	2402435	2402698	3.11592
Cp4.1LG11	2425648	2426182	3.86653
Cp4.1LG11	2460373	2460893	8.09326
Cp4.1LG11	2470648	2471044	3.61724
Cp4.1LG11	2470648	2471044	3.55537
Cp4.1LG11	2476892	2477574	4.78608
Cp4.1LG11	2484229	2484591	5.18626
Cp4.1LG11	2492473	2492704	3.21012
Cp4.1LG11	2497358	2498429	3.83686
Cp4.1LG11	2497358	2498429	3.81402
Cp4.1LG11	2530181	2536775	3.93802
Cp4.1LG11	2540088	2540421	3.41969
Cp4.1LG11	2557273	2562309	3.03729
Cp4.1LG11	2587457	2588047	4.33489
Cp4.1LG11	2587457	2588047	3.71782
Cp4.1LG11	2588465	2589474	6.44115
Cp4.1LG11	2588465	2589474	7.59124
Cp4.1LG11	2591267	2591917	3.89003
Cp4.1LG11	2613419	2613638	3.03500
Cp4.1LG11	2626260	2627234	4.36468
Cp4.1LG11	2628541	2629596	3.49296
Cp4.1LG11	2630206	2630914	3.94284
Cp4.1LG11	2632332	2632694	4.07647
Cp4.1LG11	2635935	2637257	4.43760
Cp4.1LG11	2704019	2704299	3.76937
Cp4.1LG11	2706196	2706969	3.88965
Cp4.1LG11	2706196	2706969	3.66545
Cp4.1LG11	2706196	2706969	4.43437
Cp4.1LG11	2706196	2706969	3.93620
Cp4.1LG11	2707106	2707727	6.09511
Cp4.1LG11	2710536	2711020	3.38251
Cp4.1LG11	2742804	2743998	4.40186
Cp4.1LG11	2786021	2786321	4.07755
Cp4.1LG11	2797060	2797484	5.77342
Cp4.1LG11	2801149	2801474	3.29918
Cp4.1LG11	2832115	2832809	3.74756
Cp4.1LG11	2833187	2833472	3.71467
Cp4.1LG11	2839916	2840118	5.25474
Cp4.1LG11	2840433	2840669	4.26145
Cp4.1LG11	2846200	2846428	3.87327
Cp4.1LG11	2857047	2857513	7.06674
Cp4.1LG11	2865605	2867715	4.24817
Cp4.1LG11	2869245	2877438	9.17887
Cp4.1LG11	2881905	2882642	3.13636
Cp4.1LG11	2882898	2884645	13.85843
Cp4.1LG11	2882898	2884645	12.74962
Cp4.1LG11	2887463	2888532	4.49572
Cp4.1LG11	2887463	2888532	3.46316
Cp4.1LG11	2888532	2888807	4.06658
Cp4.1LG11	2894419	2894719	3.77812
Cp4.1LG11	2901219	2902919	5.30956
Cp4.1LG11	2913866	2931244	4.29798
Cp4.1LG11	2936848	2937255	3.09854
Cp4.1LG11	2937619	2938616	5.19697
Cp4.1LG11	2937619	2938616	4.96264
Cp4.1LG11	2937619	2938616	5.59334
Cp4.1LG11	2939249	2939751	6.79321
Cp4.1LG11	2939751	2940204	5.62608
Cp4.1LG11	2950010	2950586	9.92782
Cp4.1LG11	2955563	2955934	10.80383
Cp4.1LG11	2961976	2962506	3.79271
Cp4.1LG11	2963280	2963824	6.45746
Cp4.1LG11	2966581	2966872	3.01978
Cp4.1LG11	2991192	2991489	4.04009
Cp4.1LG11	2991192	2991489	3.54407
Cp4.1LG11	2991489	2991838	4.98663
Cp4.1LG11	2992337	2993352	4.57077
Cp4.1LG11	2994554	2995228	3.19725
Cp4.1LG11	3025562	3025865	3.13871
Cp4.1LG11	3035427	3037195	4.30923
Cp4.1LG11	3056657	3057170	6.19750
Cp4.1LG11	3057728	3058031	3.23496
Cp4.1LG11	3058951	3059926	4.39697
Cp4.1LG11	3062633	3063168	3.81074
Cp4.1LG11	3063217	3063620	3.31192
Cp4.1LG11	3063696	3063960	3.01490
Cp4.1LG11	3063982	3064362	3.48766
Cp4.1LG11	3063982	3064362	3.46185
Cp4.1LG11	3075452	3075700	4.61163
Cp4.1LG11	3079143	3079892	4.94258
Cp4.1LG11	3081935	3082106	3.94132
Cp4.1LG11	3140248	3140599	3.28122
Cp4.1LG11	3151901	3152311	3.39660
Cp4.1LG11	3156488	3156701	3.03355
Cp4.1LG11	3175500	3177135	3.71707
Cp4.1LG11	3177135	3178716	5.33427
Cp4.1LG11	3177135	3178716	4.48565
Cp4.1LG11	3177135	3178716	5.13594
Cp4.1LG11	3182693	3183093	3.31356
Cp4.1LG11	3204649	3205066	4.55176
Cp4.1LG11	3207220	3207777	5.03581
Cp4.1LG11	3216617	3217177	3.21727
Cp4.1LG11	3220711	3220987	4.49509
Cp4.1LG11	3221574	3222315	4.54330
Cp4.1LG11	3232986	3233356	3.51260
Cp4.1LG11	3253722	3253893	3.01505
Cp4.1LG11	3260422	3260889	3.65881
Cp4.1LG11	3261073	3261850	4.06749
Cp4.1LG11	3261073	3261850	6.30029
Cp4.1LG11	3263235	3263789	4.55073
Cp4.1LG11	3270785	3271356	5.04948
Cp4.1LG11	3279846	3280109	4.00632
Cp4.1LG11	3279846	3280109	4.15351
Cp4.1LG11	3280458	3280934	3.48992
Cp4.1LG11	3282967	3283157	3.37914
Cp4.1LG11	3286958	3287330	3.10068
Cp4.1LG11	3293183	3293554	4.14253
Cp4.1LG11	3302137	3302575	4.19532
Cp4.1LG11	3302575	3303258	3.99477
Cp4.1LG11	3304979	3306152	5.24828
Cp4.1LG11	3320961	3321142	3.47493
Cp4.1LG11	3321487	3324717	4.71198
Cp4.1LG11	3399968	3400024	5.24978
Cp4.1LG11	3415908	3419383	5.13257
Cp4.1LG11	3424793	3427029	3.60788
Cp4.1LG11	3446578	3447165	11.06107
Cp4.1LG11	3481073	3481642	3.08667
Cp4.1LG11	3483579	3484184	3.62608
Cp4.1LG11	3489024	3489323	3.19885
Cp4.1LG11	3489024	3489323	3.42117
Cp4.1LG11	3494668	3495662	3.46896
Cp4.1LG11	3502187	3502424	3.13411
Cp4.1LG11	3512921	3513208	3.82600
Cp4.1LG11	3516844	3517520	4.85302
Cp4.1LG11	3519494	3520115	3.62455
Cp4.1LG11	3519494	3520115	3.19292
Cp4.1LG11	3519494	3520115	3.24047
Cp4.1LG11	3520744	3521163	4.37513
Cp4.1LG11	3521170	3521358	3.48631
Cp4.1LG11	3521489	3521713	3.06161
Cp4.1LG11	3521489	3521713	4.01288
Cp4.1LG11	3535261	3535549	9.20320
Cp4.1LG11	3542503	3542983	3.67432
Cp4.1LG11	3550064	3550441	10.12303
Cp4.1LG11	3554940	3555213	4.25279
Cp4.1LG11	3589095	3589149	3.14535
Cp4.1LG11	3590283	3590906	3.35850
Cp4.1LG11	3599057	3599282	5.35631
