# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_CODON_DELETION	variants_effect_CODON_INSERTION	variants_effect_DOWNSTREAM	variants_effect_FRAME_SHIFT	variants_effect_INTRON	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_NON_SYNONYMOUS_START	variants_effect_SPLICE_SITE_ACCEPTOR	variants_effect_SPLICE_SITE_DONOR	variants_effect_START_GAINED	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING	variants_effect_SYNONYMOUS_STOP	variants_effect_TRANSCRIPT	variants_effect_UPSTREAM	variants_effect_UTR_3_PRIME	variants_effect_UTR_5_PRIME
CmoCh00G000360.1	null.36	CmoCh00G000360.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G000370.1	null.37	CmoCh00G000370.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G000410.1	null.41	CmoCh00G000410.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
CmoCh00G000430.1	null.43	CmoCh00G000430.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G000500.1	null.50	CmoCh00G000500.1	protein_coding	0	0	0	15	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh00G000520.1	null.52	CmoCh00G000520.1	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G000530.1	null.53	CmoCh00G000530.1	protein_coding	0	10	9	50	0	0	0	0	1	0	3	9	0	0	0	0	0	0	0	10	0	0	46	0	0
CmoCh00G000590.1	null.59	CmoCh00G000590.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
CmoCh00G000650.1	null.65	CmoCh00G000650.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G000660.1	null.66	CmoCh00G000660.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G000670.1	null.67	CmoCh00G000670.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G000680.1	null.68	CmoCh00G000680.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G000690.1	null.69	CmoCh00G000690.1	protein_coding	0	1	0	14	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	12	0	0
CmoCh00G000700.1	null.70	CmoCh00G000700.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G000730.1	null.73	CmoCh00G000730.1	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G000740.1	null.74	CmoCh00G000740.1	protein_coding	0	0	1	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G000750.1	null.75	CmoCh00G000750.1	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh00G000760.1	null.76	CmoCh00G000760.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G000820.1	null.82	CmoCh00G000820.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G000830.1	null.83	CmoCh00G000830.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G000840.1	null.84	CmoCh00G000840.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G000880.1	null.88	CmoCh00G000880.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G000890.1	null.89	CmoCh00G000890.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G000900.1	null.90	CmoCh00G000900.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G000910.1	null.91	CmoCh00G000910.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G001030.1	null.103	CmoCh00G001030.1	protein_coding	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh00G001040.1	null.104	CmoCh00G001040.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G001050.1	null.105	CmoCh00G001050.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh00G001060.1	null.106	CmoCh00G001060.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G001070.1	null.107	CmoCh00G001070.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CmoCh00G001090.1	null.109	CmoCh00G001090.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G001100.1	null.110	CmoCh00G001100.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G001110.1	null.111	CmoCh00G001110.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G001140.1	null.114	CmoCh00G001140.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh00G001170.1	null.117	CmoCh00G001170.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh00G001180.1	null.118	CmoCh00G001180.1	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
CmoCh00G001190.1	null.119	CmoCh00G001190.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh00G001200.1	null.120	CmoCh00G001200.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh00G001280.1	null.128	CmoCh00G001280.1	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G001320.1	null.132	CmoCh00G001320.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh00G001420.1	null.142	CmoCh00G001420.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G001430.1	null.143	CmoCh00G001430.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G001450.1	null.145	CmoCh00G001450.1	protein_coding	0	0	0	10	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh00G001460.1	null.146	CmoCh00G001460.1	protein_coding	0	1	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
CmoCh00G001470.1	null.147	CmoCh00G001470.1	protein_coding	0	0	2	5	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000520.1	null.234	CmoCh01G000520.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G000530.1	null.235	CmoCh01G000530.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000540.1	null.236	CmoCh01G000540.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000550.1	null.237	CmoCh01G000550.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000560.1	null.238	CmoCh01G000560.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000640.1	null.246	CmoCh01G000640.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G000690.1	null.251	CmoCh01G000690.1	protein_coding	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CmoCh01G000700.1	null.252	CmoCh01G000700.1	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000710.1	null.253	CmoCh01G000710.1	protein_coding	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000720.1	null.254	CmoCh01G000720.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000730.1	null.255	CmoCh01G000730.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000740.1	null.256	CmoCh01G000740.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G000800.1	null.262	CmoCh01G000800.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G000810.1	null.263	CmoCh01G000810.1	protein_coding	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G000820.1	null.264	CmoCh01G000820.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G000830.1	null.265	CmoCh01G000830.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000840.1	null.266	CmoCh01G000840.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G000850.1	null.267	CmoCh01G000850.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh01G000940.1	null.276	CmoCh01G000940.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000950.1	null.277	CmoCh01G000950.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000960.1	null.278	CmoCh01G000960.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000970.1	null.279	CmoCh01G000970.1	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G000980.1	null.280	CmoCh01G000980.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G000990.1	null.281	CmoCh01G000990.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001000.1	null.282	CmoCh01G001000.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001010.1	null.283	CmoCh01G001010.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001020.1	null.284	CmoCh01G001020.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001030.1	null.285	CmoCh01G001030.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CmoCh01G001040.1	null.286	CmoCh01G001040.1	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001050.1	null.287	CmoCh01G001050.1	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001060.1	null.288	CmoCh01G001060.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001070.1	null.289	CmoCh01G001070.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001100.1	null.292	CmoCh01G001100.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001110.1	null.293	CmoCh01G001110.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
CmoCh01G001120.1	null.294	CmoCh01G001120.1	protein_coding	0	0	0	15	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001130.1	null.295	CmoCh01G001130.1	protein_coding	0	1	1	13	0	0	0	0	12	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CmoCh01G001140.1	null.296	CmoCh01G001140.1	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001150.1	null.297	CmoCh01G001150.1	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001160.1	null.298	CmoCh01G001160.1	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001170.1	null.299	CmoCh01G001170.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001180.1	null.300	CmoCh01G001180.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001190.1	null.301	CmoCh01G001190.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001200.1	null.302	CmoCh01G001200.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001280.1	null.310	CmoCh01G001280.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh01G001290.1	null.311	CmoCh01G001290.1	protein_coding	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CmoCh01G001300.1	null.312	CmoCh01G001300.1	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CmoCh01G001310.1	null.313	CmoCh01G001310.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001380.1	null.320	CmoCh01G001380.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001390.1	null.321	CmoCh01G001390.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001400.1	null.322	CmoCh01G001400.1	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001410.1	null.323	CmoCh01G001410.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001420.1	null.324	CmoCh01G001420.1	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001430.1	null.325	CmoCh01G001430.1	protein_coding	0	1	0	7	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	4	0	0
CmoCh01G001440.1	null.326	CmoCh01G001440.1	protein_coding	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
CmoCh01G001450.1	null.327	CmoCh01G001450.1	protein_coding	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh01G001460.1	null.328	CmoCh01G001460.1	protein_coding	0	0	0	23	0	0	0	0	14	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	1
CmoCh01G001470.1	null.329	CmoCh01G001470.1	protein_coding	0	1	2	14	0	0	0	0	2	0	9	2	0	0	0	0	0	0	0	1	0	0	3	0	0
CmoCh01G001480.1	null.330	CmoCh01G001480.1	protein_coding	0	0	0	16	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0
CmoCh01G001490.1	null.331	CmoCh01G001490.1	protein_coding	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
CmoCh01G001500.1	null.332	CmoCh01G001500.1	protein_coding	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CmoCh01G001510.1	null.333	CmoCh01G001510.1	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh01G001520.1	null.334	CmoCh01G001520.1	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001530.1	null.335	CmoCh01G001530.1	protein_coding	0	0	0	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001540.1	null.336	CmoCh01G001540.1	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh01G001550.1	null.337	CmoCh01G001550.1	protein_coding	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh01G001560.1	null.338	CmoCh01G001560.1	protein_coding	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001570.1	null.339	CmoCh01G001570.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001590.1	null.341	CmoCh01G001590.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001600.1	null.342	CmoCh01G001600.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001610.1	null.343	CmoCh01G001610.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001620.1	null.344	CmoCh01G001620.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001630.1	null.345	CmoCh01G001630.1	protein_coding	0	1	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
CmoCh01G001640.1	null.346	CmoCh01G001640.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
CmoCh01G001650.1	null.347	CmoCh01G001650.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
CmoCh01G001660.1	null.348	CmoCh01G001660.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001670.1	null.349	CmoCh01G001670.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh01G001680.1	null.350	CmoCh01G001680.1	protein_coding	0	1	0	11	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	5	1	0
CmoCh01G001690.1	null.351	CmoCh01G001690.1	protein_coding	0	0	0	17	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0
CmoCh01G001700.1	null.352	CmoCh01G001700.1	protein_coding	0	1	0	13	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0
CmoCh01G001710.1	null.353	CmoCh01G001710.1	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001720.1	null.354	CmoCh01G001720.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CmoCh01G001730.1	null.355	CmoCh01G001730.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001810.1	null.363	CmoCh01G001810.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001820.1	null.364	CmoCh01G001820.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001830.1	null.365	CmoCh01G001830.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001840.1	null.366	CmoCh01G001840.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001850.1	null.367	CmoCh01G001850.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001860.1	null.368	CmoCh01G001860.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001950.1	null.377	CmoCh01G001950.1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G001980.1	null.380	CmoCh01G001980.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CmoCh01G001990.1	null.381	CmoCh01G001990.1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G002010.1	null.383	CmoCh01G002010.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G002020.1	null.384	CmoCh01G002020.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G002030.1	null.385	CmoCh01G002030.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G002040.1	null.386	CmoCh01G002040.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh01G002050.1	null.387	CmoCh01G002050.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CmoCh01G002170.1	null.399	CmoCh01G002170.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G002180.1	null.400	CmoCh01G002180.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G002190.1	null.401	CmoCh01G002190.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CmoCh01G002290.1	null.411	CmoCh01G002290.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
