CHROM	START	STOP	PEAK	STAT	CI	SOURCE
Cp4.1LG02	170959	1370959	0.172505	BBLogBF	95	Permutation
Cp4.1LG02	3870959	10070959	1.315625	BBLogBF	95	Permutation
Cp4.1LG02	4470959	7370959	5.000000	Consensus	99	Consensus
Cp4.1LG03	98	500098	0.002319	ED4	99	Permutation
Cp4.1LG03	8900098	9700098	0.002218	ED4	99	Permutation
Cp4.1LG03	11000098	13700098	0.002505	ED4	99	Permutation
Cp4.1LG03	98	800098	0.583554	HighSI	95	Permutation
Cp4.1LG03	6400098	7100098	0.558173	HighSI	95	Permutation
Cp4.1LG03	5800098	6300098	0.598436	LowSI	95	Permutation
Cp4.1LG03	8700098	9100098	0.605756	LowSI	95	Permutation
Cp4.1LG03	98	500098	0.133380	DeltaSI	95	Permutation
Cp4.1LG03	13300098	13700098	0.133320	DeltaSI	95	Permutation
Cp4.1LG03	98	1000098	5.547542	Gstat	95	Permutation
Cp4.1LG03	8800098	9700098	4.748894	Gstat	95	Permutation
Cp4.1LG03	12200098	13700098	4.816072	Gstat	95	Permutation
Cp4.1LG03	98	13700098	0.002505	ED4	95	Permutation
Cp4.1LG03	98	1000098	1.215887	LOD	95	Permutation
Cp4.1LG03	8800098	9700098	1.048657	LOD	95	Permutation
Cp4.1LG03	12200098	13700098	1.067459	LOD	95	Permutation
Cp4.1LG03	98	1000098	0.315651	BBLogBF	95	Permutation
Cp4.1LG03	8800098	9700098	0.138914	BBLogBF	95	Permutation
Cp4.1LG03	12200098	13700098	0.170851	BBLogBF	95	Permutation
Cp4.1LG04	4700273	7400273	-0.330654	DeltaSI	99	Permutation
Cp4.1LG04	4500273	7600273	22.496278	Gstat	99	Permutation
Cp4.1LG04	1100273	2000273	0.001962	ED4	99	Permutation
Cp4.1LG04	2500273	2700273	0.001540	ED4	99	Permutation
Cp4.1LG04	3600273	7900273	0.020296	ED4	99	Permutation
Cp4.1LG04	4500273	7600273	4.933808	LOD	99	Permutation
Cp4.1LG04	4500273	7600273	4.036121	BBLogBF	99	Permutation
Cp4.1LG04	4100273	7600273	-0.330654	DeltaSI	95	Permutation
Cp4.1LG04	700273	8000273	22.496278	Gstat	95	Permutation
Cp4.1LG04	273	12600273	0.020296	ED4	95	Permutation
Cp4.1LG04	700273	8000273	4.933808	LOD	95	Permutation
Cp4.1LG04	700273	8000273	4.036121	BBLogBF	95	Permutation
Cp4.1LG04	5200273	7200273	-3.409275	DeltaSI_Z	z3	ZScore
Cp4.1LG04	4800273	7400273	6.360157	Gstat_Z	z3	ZScore
Cp4.1LG04	4700273	7600273	13.998069	ED4_Z	z3	ZScore
Cp4.1LG04	4800273	7400273	6.348289	LOD_Z	z3	ZScore
Cp4.1LG04	4800273	7400273	6.620536	BBLogBF_Z	z3	ZScore
Cp4.1LG04	4500273	7600273	5.000000	Consensus	99	Consensus
Cp4.1LG04	4700273	7400273	-0.330654	DeltaSI	99	HighConfidence
Cp4.1LG04	4500273	7600273	22.496278	Gstat	99	HighConfidence
Cp4.1LG04	3600273	7900273	0.020296	ED4	99	HighConfidence
Cp4.1LG04	4500273	7600273	4.933808	LOD	99	HighConfidence
Cp4.1LG04	4500273	7600273	4.036121	BBLogBF	99	HighConfidence
Cp4.1LG04	4100273	7600273	-0.330654	DeltaSI	95	HighConfidence
Cp4.1LG04	700273	8000273	22.496278	Gstat	95	HighConfidence
Cp4.1LG04	273	12600273	0.020296	ED4	95	HighConfidence
Cp4.1LG04	700273	8000273	4.933808	LOD	95	HighConfidence
Cp4.1LG04	700273	8000273	4.036121	BBLogBF	95	HighConfidence
Cp4.1LG04	5200273	7200273	-3.409275	DeltaSI_Z	z3	HighConfidence
Cp4.1LG04	4800273	7400273	6.360157	Gstat_Z	z3	HighConfidence
Cp4.1LG04	4700273	7600273	13.998069	ED4_Z	z3	HighConfidence
Cp4.1LG04	4800273	7400273	6.348289	LOD_Z	z3	HighConfidence
Cp4.1LG04	4800273	7400273	6.620536	BBLogBF_Z	z3	HighConfidence
Cp4.1LG05	8400569	10800569	0.638290	HighSI	99	Permutation
Cp4.1LG05	6300569	7700569	0.689397	LowSI	99	Permutation
Cp4.1LG05	569	1000569	0.255532	DeltaSI	99	Permutation
Cp4.1LG05	569	1200569	13.344272	Gstat	99	Permutation
Cp4.1LG05	4800569	7100569	12.948390	Gstat	99	Permutation
Cp4.1LG05	569	1500569	0.009438	ED4	99	Permutation
Cp4.1LG05	4000569	7800569	0.006699	ED4	99	Permutation
Cp4.1LG05	569	1200569	2.941647	LOD	99	Permutation
Cp4.1LG05	4800569	7100569	2.837458	LOD	99	Permutation
Cp4.1LG05	569	1200569	2.042654	BBLogBF	99	Permutation
Cp4.1LG05	4700569	7100569	1.931606	BBLogBF	99	Permutation
Cp4.1LG05	200569	800569	0.563647	HighSI	95	Permutation
Cp4.1LG05	8000569	10800569	0.638290	HighSI	95	Permutation
Cp4.1LG05	4200569	10800569	0.689397	LowSI	95	Permutation
Cp4.1LG05	569	1400569	0.255532	DeltaSI	95	Permutation
Cp4.1LG05	5700569	7700569	-0.178384	DeltaSI	95	Permutation
Cp4.1LG05	569	1600569	13.344272	Gstat	95	Permutation
Cp4.1LG05	3900569	8000569	12.948390	Gstat	95	Permutation
Cp4.1LG05	569	10800569	0.009438	ED4	95	Permutation
Cp4.1LG05	569	1600569	2.941647	LOD	95	Permutation
Cp4.1LG05	3900569	8000569	2.837458	LOD	95	Permutation
Cp4.1LG05	569	1600569	2.042654	BBLogBF	95	Permutation
Cp4.1LG05	3900569	8000569	1.931606	BBLogBF	95	Permutation
Cp4.1LG05	569	569	3.103808	Gstat_Z	z3	ZScore
Cp4.1LG05	569	900569	5.782697	ED4_Z	z3	ZScore
Cp4.1LG05	5000569	5800569	3.710360	ED4_Z	z3	ZScore
Cp4.1LG05	569	569	3.119752	LOD_Z	z3	ZScore
Cp4.1LG05	569	200569	3.267859	BBLogBF_Z	z3	ZScore
Cp4.1LG05	5300569	5500569	3.081095	BBLogBF_Z	z3	ZScore
Cp4.1LG05	569	1200569	5.000000	Consensus	99	Consensus
Cp4.1LG05	4800569	7100569	5.000000	Consensus	99	Consensus
Cp4.1LG05	569	1000569	0.255532	DeltaSI	99	HighConfidence
Cp4.1LG05	569	1200569	13.344272	Gstat	99	HighConfidence
Cp4.1LG05	569	1500569	0.009438	ED4	99	HighConfidence
Cp4.1LG05	569	1200569	2.941647	LOD	99	HighConfidence
Cp4.1LG05	569	1200569	2.042654	BBLogBF	99	HighConfidence
Cp4.1LG05	200569	800569	0.563647	HighSI	95	HighConfidence
Cp4.1LG05	569	1400569	0.255532	DeltaSI	95	HighConfidence
Cp4.1LG05	569	1600569	13.344272	Gstat	95	HighConfidence
Cp4.1LG05	569	10800569	0.009438	ED4	95	HighConfidence
Cp4.1LG05	569	1600569	2.941647	LOD	95	HighConfidence
Cp4.1LG05	569	1600569	2.042654	BBLogBF	95	HighConfidence
Cp4.1LG05	569	569	3.103808	Gstat_Z	z3	HighConfidence
Cp4.1LG05	569	900569	5.782697	ED4_Z	z3	HighConfidence
Cp4.1LG05	569	569	3.119752	LOD_Z	z3	HighConfidence
Cp4.1LG05	569	200569	3.267859	BBLogBF_Z	z3	HighConfidence
Cp4.1LG06	2101166	5201166	0.680069	HighSI	99	Permutation
Cp4.1LG06	7001166	8301166	0.001862	ED4	99	Permutation
Cp4.1LG06	8801166	9101166	0.001284	ED4	99	Permutation
Cp4.1LG06	301166	301166	0.565348	HighSI	95	Permutation
Cp4.1LG06	1801166	6101166	0.680069	HighSI	95	Permutation
Cp4.1LG06	701166	6201166	0.662289	LowSI	95	Permutation
Cp4.1LG06	1401166	1401166	3.765619	Gstat	95	Permutation
Cp4.1LG06	7101166	8801166	4.818815	Gstat	95	Permutation
Cp4.1LG06	9301166	9401166	3.573251	Gstat	95	Permutation
Cp4.1LG06	1166	10601166	0.001862	ED4	95	Permutation
Cp4.1LG06	1401166	1401166	0.835190	LOD	95	Permutation
Cp4.1LG06	7101166	8801166	1.057822	LOD	95	Permutation
Cp4.1LG06	9301166	9401166	0.803803	LOD	95	Permutation
Cp4.1LG06	1401166	1701166	-0.052324	BBLogBF	95	Permutation
Cp4.1LG06	7101166	9401166	0.111071	BBLogBF	95	Permutation
Cp4.1LG07	1825970	3125970	0.619931	HighSI	99	Permutation
Cp4.1LG07	4625970	7125970	0.633288	HighSI	99	Permutation
Cp4.1LG07	7725970	8925970	0.618596	HighSI	99	Permutation
Cp4.1LG07	6525970	8425970	0.689671	LowSI	99	Permutation
Cp4.1LG07	9025970	10025970	0.670640	LowSI	99	Permutation
Cp4.1LG07	2825970	3025970	0.001350	ED4	99	Permutation
Cp4.1LG07	7125970	7125970	0.001604	ED4	99	Permutation
Cp4.1LG07	9425970	10025970	0.002553	ED4	99	Permutation
Cp4.1LG07	1625970	10025970	0.633288	HighSI	95	Permutation
Cp4.1LG07	125970	1425970	0.626245	LowSI	95	Permutation
Cp4.1LG07	4125970	4125970	0.594427	LowSI	95	Permutation
Cp4.1LG07	4825970	10025970	0.689671	LowSI	95	Permutation
Cp4.1LG07	125970	125970	3.974410	Gstat	95	Permutation
Cp4.1LG07	725970	925970	3.841028	Gstat	95	Permutation
Cp4.1LG07	2025970	3125970	4.365728	Gstat	95	Permutation
Cp4.1LG07	6925970	7625970	4.159480	Gstat	95	Permutation
Cp4.1LG07	9425970	9425970	3.689319	Gstat	95	Permutation
Cp4.1LG07	9925970	10025970	4.042248	Gstat	95	Permutation
Cp4.1LG07	125970	10025970	0.002553	ED4	95	Permutation
Cp4.1LG07	125970	125970	0.879613	LOD	95	Permutation
Cp4.1LG07	725970	925970	0.849177	LOD	95	Permutation
Cp4.1LG07	2025970	3125970	0.956302	LOD	95	Permutation
Cp4.1LG07	6725970	7625970	0.927535	LOD	95	Permutation
Cp4.1LG07	9425970	9425970	0.820138	LOD	95	Permutation
Cp4.1LG07	9925970	10025970	0.898627	LOD	95	Permutation
Cp4.1LG07	125970	1025970	-0.013418	BBLogBF	95	Permutation
Cp4.1LG07	2025970	3125970	0.052833	BBLogBF	95	Permutation
Cp4.1LG07	6325970	7625970	0.021001	BBLogBF	95	Permutation
Cp4.1LG07	9425970	9425970	-0.076593	BBLogBF	95	Permutation
Cp4.1LG07	9925970	10025970	0.002070	BBLogBF	95	Permutation
Cp4.1LG07	7125970	7125970	3.000000	Consensus	99	Consensus
Cp4.1LG08	5821052	6521052	0.662669	LowSI	99	Permutation
Cp4.1LG08	7321052	9121052	0.705541	LowSI	99	Permutation
Cp4.1LG08	5821052	9721052	-0.356532	DeltaSI	99	Permutation
Cp4.1LG08	5621052	9821052	24.045842	Gstat	99	Permutation
Cp4.1LG08	1821052	2421052	0.002386	ED4	99	Permutation
Cp4.1LG08	2921052	3121052	0.001940	ED4	99	Permutation
Cp4.1LG08	4921052	10021052	0.027067	ED4	99	Permutation
Cp4.1LG08	5621052	9821052	5.289942	LOD	99	Permutation
Cp4.1LG08	5621052	9821052	4.393197	BBLogBF	99	Permutation
