CHROM	POS	HighSI	LowSI	DeltaSI	Gstat	ED4	LOD	BBLogBF	NumSNPs	MeanHighDP	MeanLowDP	HighSI_p99	HighSI_p95	HighSI_m_p99	HighSI_m_p95	LowSI_p99	LowSI_p95	LowSI_m_p99	LowSI_m_p95	DeltaSI_p99	DeltaSI_p95	DeltaSI_m_p99	DeltaSI_m_p95	Gstat_p99	Gstat_p95	ED4_p99	ED4_p95	LOD_p99	LOD_p95	BBLogBF_p99	BBLogBF_p95
Cp4.1LG04	3500273	0.455331	0.546468	-0.091137	4.380673	0.001493	0.961902	0.036496	3428	192	64	0.583333	0.557292	0.406250	0.437500	0.671875	0.609375	0.343750	0.390625	0.171875	0.114583	-0.192708	-0.119792	7.501576	3.793528	0.001534	0.000391	1.649304	0.839226	0.708683	-0.101388
Cp4.1LG04	3600273	0.452609	0.546600	-0.093991	4.417848	0.001527	0.970080	0.046297	3458	194	64	0.587629	0.556701	0.412371	0.443299	0.640625	0.593750	0.343750	0.390625	0.172197	0.119845	-0.197004	-0.114691	7.457774	3.769806	0.001506	0.000386	1.634056	0.824363	0.692913	-0.116757
Cp4.1LG04	3700273	0.449467	0.546881	-0.097414	4.485622	0.001583	0.985001	0.063100	3356	195	64	0.589744	0.553846	0.405128	0.441026	0.656250	0.593750	0.343750	0.390625	0.173237	0.112179	-0.178606	-0.121234	6.891264	4.172062	0.001285	0.000475	1.516081	0.915601	0.574629	-0.025796
Cp4.1LG04	3800273	0.446018	0.547690	-0.101672	4.620099	0.001676	1.014591	0.094493	3290	195	64	0.589744	0.553846	0.405128	0.441026	0.656250	0.593750	0.343750	0.390625	0.173237	0.112179	-0.178606	-0.121234	6.891264	4.172062	0.001285	0.000475	1.516081	0.915601	0.574629	-0.025796
Cp4.1LG04	3900273	0.442281	0.549228	-0.106946	4.848042	0.001824	1.064723	0.146208	3157	195	64	0.589744	0.553846	0.405128	0.441026	0.656250	0.593750	0.343750	0.390625	0.173237	0.112179	-0.178606	-0.121234	6.891264	4.172062	0.001285	0.000475	1.516081	0.915601	0.574629	-0.025796
Cp4.1LG04	4000273	0.438096	0.551203	-0.113107	5.160159	0.002026	1.133288	0.216100	3085	190	63	0.594737	0.557895	0.405263	0.442105	0.666667	0.603175	0.333333	0.396825	0.187386	0.118964	-0.198329	-0.113534	7.905740	3.685935	0.001718	0.000383	1.757970	0.806931	0.820198	-0.130512
Cp4.1LG04	4100273	0.433079	0.552937	-0.119859	5.519392	0.002264	1.212088	0.296101	2958	191	64	0.591623	0.554974	0.413613	0.439791	0.656250	0.593750	0.328125	0.390625	0.190281	0.117474	-0.190363	-0.117556	7.317759	3.916134	0.001464	0.000422	1.609002	0.861854	0.668665	-0.078440
Cp4.1LG04	4200273	0.426842	0.554201	-0.127358	5.940339	0.002552	1.304251	0.389320	3066	189	63	0.592593	0.555556	0.412698	0.439153	0.666667	0.603175	0.333333	0.396825	0.190477	0.126984	-0.195768	-0.121694	7.629727	4.420524	0.001634	0.000554	1.679336	0.970415	0.742090	0.033245
Cp4.1LG04	4300273	0.418503	0.555007	-0.136504	6.487492	0.002942	1.423816	0.509955	3020	183	62	0.590164	0.557377	0.404372	0.437158	0.661290	0.596774	0.338710	0.387097	0.186409	0.121364	-0.202274	-0.121364	8.014796	3.758799	0.001862	0.000418	1.769030	0.829223	0.836061	-0.103659
Cp4.1LG04	4400273	0.407202	0.555488	-0.148286	7.226817	0.003508	1.585209	0.672681	3065	182	62	0.593407	0.560440	0.406593	0.439560	0.661290	0.596774	0.322581	0.403226	0.188763	0.118752	-0.183977	-0.119816	7.389122	3.898483	0.001603	0.000448	1.625926	0.860775	0.693314	-0.071807
Cp4.1LG04	4500273	0.392384	0.556006	-0.163622	8.238397	0.004350	1.805999	0.895137	3123	179	62	0.597765	0.558659	0.402235	0.435754	0.677419	0.612903	0.354839	0.387097	0.181474	0.118850	-0.191385	-0.123175	7.675555	3.845169	0.001747	0.000441	1.685517	0.842939	0.753844	-0.088679
Cp4.1LG04	4600273	0.373859	0.556992	-0.183132	9.614925	0.005591	2.106559	1.197518	3065	177	62	0.587571	0.559322	0.401130	0.435028	0.661290	0.596774	0.338710	0.387097	0.194004	0.127847	-0.188354	-0.119008	7.661180	3.721355	0.001748	0.000410	1.685401	0.824162	0.754334	-0.106897
Cp4.1LG04	4700273	0.352805	0.558608	-0.205802	11.324995	0.007267	2.480267	1.572953	3119	173	61	0.595376	0.560694	0.398844	0.433526	0.655738	0.606557	0.344262	0.393443	0.183645	0.119113	-0.194257	-0.123851	7.261491	3.385133	0.001632	0.000356	1.594321	0.747784	0.667152	-0.179375
Cp4.1LG04	4800273	0.331076	0.560674	-0.229598	13.230701	0.009292	2.897474	1.991868	3008	170	60	0.594118	0.558824	0.394118	0.429412	0.683333	0.600000	0.333333	0.383333	0.196079	0.129412	-0.211765	-0.126471	8.230757	4.180994	0.002164	0.000561	1.807795	0.916654	0.884220	-0.006860
Cp4.1LG04	4900273	0.310279	0.562853	-0.252574	15.165498	0.011490	3.321813	2.417810	2876	169	60	0.603550	0.562130	0.402367	0.437870	0.650000	0.600000	0.333333	0.383333	0.191124	0.128797	-0.193294	-0.115877	8.304318	3.832719	0.002172	0.000467	1.833982	0.849426	0.910655	-0.073830
Cp4.1LG04	5000273	0.291358	0.564586	-0.273228	16.973995	0.013652	3.718928	2.816369	2723	167	60	0.598802	0.562874	0.407186	0.437126	0.650000	0.600000	0.316667	0.383333	0.208183	0.117565	-0.204291	-0.124850	7.983950	3.480230	0.002053	0.000387	1.757186	0.771339	0.834597	-0.151153
Cp4.1LG04	5100273	0.274355	0.565562	-0.291207	18.580028	0.015658	4.071840	3.170617	2617	163	59	0.607362	0.564417	0.392638	0.429448	0.677966	0.610169	0.322034	0.389831	0.207029	0.125506	-0.202350	-0.133097	8.202199	4.012167	0.002239	0.000531	1.797646	0.884578	0.879144	-0.033880
Cp4.1LG04	5200273	0.259866	0.565664	-0.305798	19.904417	0.017379	4.362952	3.463028	2664	161	59	0.602484	0.565217	0.385093	0.428571	0.661017	0.610169	0.338983	0.389831	0.201916	0.124539	-0.175386	-0.122855	7.541097	4.055365	0.001918	0.000554	1.659582	0.892764	0.741755	-0.024983
Cp4.1LG04	5300273	0.248377	0.564971	-0.316594	20.901500	0.018703	4.582083	3.683367	2578	160	59	0.600000	0.562500	0.393750	0.431250	0.644068	0.610169	0.338983	0.389831	0.195869	0.122669	-0.192267	-0.120869	7.333451	3.822998	0.001821	0.000499	1.614250	0.840014	0.696785	-0.077382
Cp4.1LG04	5400273	0.239903	0.563705	-0.323802	21.587223	0.019589	4.732679	3.834877	2530	161	59	0.602484	0.565217	0.385093	0.428571	0.661017	0.610169	0.338983	0.389831	0.201916	0.124539	-0.175386	-0.122855	7.541097	4.055365	0.001918	0.000554	1.659582	0.892764	0.741755	-0.024983
Cp4.1LG04	5500273	0.234203	0.562066	-0.327862	22.000319	0.020078	4.823300	3.926010	2646	162	59	0.598765	0.567901	0.395062	0.432099	0.661017	0.593220	0.338983	0.389831	0.199624	0.130257	-0.190312	-0.125654	7.412259	3.898085	0.001849	0.000511	1.628375	0.862997	0.710213	-0.055179
Cp4.1LG04	5600273	0.230076	0.559807	-0.329731	22.229700	0.020272	4.873612	3.976440	2561	160	59	0.600000	0.562500	0.393750	0.431250	0.644068	0.610169	0.338983	0.389831	0.195869	0.122669	-0.192267	-0.120869	7.333451	3.822998	0.001821	0.000499	1.614250	0.840014	0.696785	-0.077382
Cp4.1LG04	5700273	0.226307	0.556812	-0.330505	22.372363	0.020296	4.905194	4.007948	2600	157	59	0.592357	0.560510	0.394904	0.433121	0.644068	0.610169	0.338983	0.406780	0.177048	0.115513	-0.179207	-0.121775	5.770831	3.080600	0.001132	0.000328	1.275576	0.677943	0.359196	-0.238342
Cp4.1LG04	5800273	0.222542	0.553196	-0.330654	22.463611	0.020219	4.925866	4.028455	2719	158	59	0.601266	0.563291	0.386076	0.436709	0.661017	0.593220	0.322034	0.389831	0.207144	0.126904	-0.192663	-0.120790	8.903589	3.734384	0.002635	0.000458	1.967855	0.821979	1.051023	-0.094661
Cp4.1LG04	5900273	0.219037	0.549228	-0.330190	22.496278	0.020041	4.933808	4.036121	2760	158	59	0.601266	0.563291	0.386076	0.436709	0.661017	0.593220	0.322034	0.389831	0.207144	0.126904	-0.192663	-0.120790	8.903589	3.734384	0.002635	0.000458	1.967855	0.821979	1.051023	-0.094661
Cp4.1LG04	6000273	0.216507	0.545414	-0.328907	22.460692	0.019717	4.926458	4.028314	2693	159	59	0.584906	0.559748	0.389937	0.433962	0.661017	0.610169	0.338983	0.406780	0.169917	0.111396	-0.202430	-0.130264	7.224125	3.577794	0.001726	0.000439	1.603800	0.788529	0.686556	-0.128517
Cp4.1LG04	6100273	0.215269	0.542078	-0.326809	22.348683	0.019237	4.901785	4.003056	2651	155	58	0.612903	0.567742	0.393548	0.425806	0.655172	0.603448	0.327586	0.379310	0.188543	0.130367	-0.220801	-0.126029	7.912417	3.905202	0.002191	0.000533	1.733739	0.866175	0.820849	-0.046768
Cp4.1LG04	6200273	0.215204	0.539430	-0.324227	22.175739	0.018658	4.863217	3.963952	2415	155	59	0.606452	0.567742	0.393548	0.432258	0.661017	0.610169	0.322034	0.389831	0.204592	0.129579	-0.173865	-0.125424	7.360447	3.609591	0.001863	0.000450	1.626565	0.801948	0.710909	-0.113668
Cp4.1LG04	6300273	0.215945	0.537609	-0.321664	22.000230	0.018082	4.823704	3.923889	2301	156	59	0.602564	0.557692	0.391026	0.429487	0.644068	0.610169	0.338983	0.389831	0.195784	0.119730	-0.193502	-0.129400	6.752538	3.752613	0.001482	0.000488	1.471725	0.826763	0.555821	-0.089162
Cp4.1LG04	6400273	0.217155	0.536675	-0.319520	21.865578	0.017602	4.793086	3.892664	2143	154	59	0.597403	0.558442	0.396104	0.435065	0.644068	0.610169	0.338983	0.389831	0.177966	0.119194	-0.196016	-0.128219	6.533182	3.519244	0.001476	0.000427	1.439488	0.770022	0.524280	-0.145098
Cp4.1LG04	6500273	0.218452	0.536580	-0.318128	21.801064	0.017303	4.778259	3.877277	1956	153	58	0.601307	0.568627	0.398693	0.437908	0.672414	0.620690	0.344828	0.396552	0.179175	0.126324	-0.208362	-0.122155	7.321855	3.672870	0.001905	0.000484	1.617248	0.809725	0.705033	-0.102422
Cp4.1LG04	6600273	0.219892	0.537486	-0.317594	21.822443	0.017216	4.783000	3.881611	1854	155	59	0.606452	0.567742	0.393548	0.432258	0.661017	0.610169	0.322034	0.389831	0.204592	0.129579	-0.173865	-0.125424	7.360447	3.609591	0.001863	0.000450	1.626565	0.801948	0.710909	-0.113668
Cp4.1LG04	6700273	0.221781	0.539659	-0.317878	21.924549	0.017345	4.805974	3.904396	1680	156	59	0.602564	0.557692	0.391026	0.429487	0.644068	0.610169	0.338983	0.389831	0.195784	0.119730	-0.193502	-0.129400	6.752538	3.752613	0.001482	0.000488	1.471725	0.826763	0.555821	-0.089162
Cp4.1LG04	6800273	0.224589	0.543064	-0.318475	22.054446	0.017633	4.835217	3.933724	1643	156	59	0.602564	0.557692	0.391026	0.429487	0.644068	0.610169	0.338983	0.389831	0.195784	0.119730	-0.193502	-0.129400	6.752538	3.752613	0.001482	0.000488	1.471725	0.826763	0.555821	-0.089162
Cp4.1LG04	6900273	0.229172	0.547599	-0.318427	22.118381	0.017979	4.849957	3.948937	1566	157	59	0.592357	0.560510	0.394904	0.433121	0.644068	0.610169	0.338983	0.406780	0.177048	0.115513	-0.179207	-0.121775	5.770831	3.080600	0.001132	0.000328	1.275576	0.677943	0.359196	-0.238342
Cp4.1LG04	7000273	0.235951	0.552845	-0.316894	22.028599	0.018232	4.830668	3.930554	1537	158	59	0.601266	0.563291	0.386076	0.436709	0.661017	0.593220	0.322034	0.389831	0.207144	0.126904	-0.192663	-0.120790	8.903589	3.734384	0.002635	0.000458	1.967855	0.821979	1.051023	-0.094661
Cp4.1LG04	7100273	0.245897	0.557969	-0.312072	21.634985	0.018181	4.744176	3.845249	1607	158	59	0.601266	0.563291	0.386076	0.436709	0.661017	0.593220	0.322034	0.389831	0.207144	0.126904	-0.192663	-0.120790	8.903589	3.734384	0.002635	0.000458	1.967855	0.821979	1.051023	-0.094661
Cp4.1LG04	7200273	0.263703	0.561829	-0.298126	20.493496	0.017400	4.493146	3.595323	1525	160	59	0.600000	0.562500	0.393750	0.431250	0.644068	0.610169	0.338983	0.389831	0.195869	0.122669	-0.192267	-0.120869	7.333451	3.822998	0.001821	0.000499	1.614250	0.840014	0.696785	-0.077382
Cp4.1LG04	7300273	0.294623	0.563110	-0.268487	18.116580	0.015431	3.971047	3.073776	1472	157	59	0.592357	0.560510	0.394904	0.433121	0.644068	0.610169	0.338983	0.406780	0.177048	0.115513	-0.179207	-0.121775	5.770831	3.080600	0.001132	0.000328	1.275576	0.677943	0.359196	-0.238342
Cp4.1LG04	7400273	0.336531	0.560517	-0.223986	14.601229	0.012307	3.199827	2.302410	1393	156	59	0.602564	0.557692	0.391026	0.429487	0.644068	0.610169	0.338983	0.389831	0.195784	0.119730	-0.193502	-0.129400	6.752538	3.752613	0.001482	0.000488	1.471725	0.826763	0.555821	-0.089162
Cp4.1LG04	7500273	0.378710	0.555529	-0.176819	10.905615	0.008940	2.390187	1.492400	1269	153	58	0.601307	0.568627	0.398693	0.437908	0.672414	0.620690	0.344828	0.396552	0.179175	0.126324	-0.208362	-0.122155	7.321855	3.672870	0.001905	0.000484	1.617248	0.809725	0.705033	-0.102422
Cp4.1LG04	7600273	0.412157	0.550855	-0.138698	7.941446	0.006227	1.741479	0.843715	1173	152	59	0.611842	0.565789	0.381579	0.427632	0.661017	0.610169	0.338983	0.389831	0.186330	0.124331	-0.190121	-0.125111	7.189977	3.735579	0.001681	0.000478	1.580206	0.819128	0.665803	-0.095217
Cp4.1LG04	7700273	0.432427	0.547900	-0.115473	6.170649	0.004564	1.354081	0.456882	1174	156	59	0.602564	0.557692	0.391026	0.429487	0.644068	0.610169	0.338983	0.389831	0.195784	0.119730	-0.193502	-0.129400	6.752538	3.752613	0.001482	0.000488	1.471725	0.826763	0.555821	-0.089162
Cp4.1LG04	7800273	0.443697	0.546485	-0.102788	5.267598	0.003631	1.156463	0.259875	1133	151	58	0.602649	0.569536	0.397351	0.437086	0.672414	0.603448	0.344828	0.379310	0.203471	0.129253	-0.196849	-0.122631	7.020074	3.984579	0.001761	0.000570	1.548040	0.881168	0.636641	-0.030195
Cp4.1LG04	7900273	0.452456	0.545571	-0.093115	4.620983	0.002927	1.015042	0.118908	1076	153	58	0.601307	0.568627	0.398693	0.437908	0.672414	0.620690	0.344828	0.396552	0.179175	0.126324	-0.208362	-0.122155	7.321855	3.672870	0.001905	0.000484	1.617248	0.809725	0.705033	-0.102422
Cp4.1LG04	8000273	0.460316	0.544832	-0.084516	4.058945	0.002319	0.892245	-0.003602	1114	158	59	0.601266	0.563291	0.386076	0.436709	0.661017	0.593220	0.322034	0.389831	0.207144	0.126904	-0.192663	-0.120790	8.903589	3.734384	0.002635	0.000458	1.967855	0.821979	1.051023	-0.094661
Cp4.1LG04	8100273	0.467436	0.544367	-0.076932	3.582128	0.001820	0.788136	-0.107695	1182	160	59	0.600000	0.562500	0.393750	0.431250	0.644068	0.610169	0.338983	0.389831	0.195869	0.122669	-0.192267	-0.120869	7.333451	3.822998	0.001821	0.000499	1.614250	0.840014	0.696785	-0.077382
Cp4.1LG04	8200273	0.474399	0.544533	-0.070134	3.197670	0.001442	0.704221	-0.191985	1223	160	59	0.600000	0.562500	0.393750	0.431250	0.644068	0.610169	0.338983	0.389831	0.195869	0.122669	-0.192267	-0.120869	7.333451	3.822998	0.001821	0.000499	1.614250	0.840014	0.696785	-0.077382
Cp4.1LG04	8300273	0.481248	0.545437	-0.064189	2.921904	0.001197	0.644053	-0.252703	1239	159	59	0.584906	0.559748	0.389937	0.433962	0.661017	0.610169	0.338983	0.406780	0.169917	0.111396	-0.202430	-0.130264	7.224125	3.577794	0.001726	0.000439	1.603800	0.788529	0.686556	-0.128517
